provincia,anio,mes,Mes_Numero,Fecha_Completa,Fecha_Procesada,empleados_registrados_miles
Buenos Aires,2009,ene-09,1,1/1/2009,1/1/2009,"1,787.64"
Buenos Aires,2009,Feb-09,2,2/1/2009,2/1/2009,"1,769.22"
Buenos Aires,2009,Mar-09,3,3/1/2009,3/1/2009,"1,745.91"
Buenos Aires,2009,abr-09,4,4/1/2009,4/1/2009,"1,729.92"
Buenos Aires,2009,May-09,5,5/1/2009,5/1/2009,"1,723.22"
Buenos Aires,2009,Jun-09,6,6/1/2009,6/1/2009,"1,724.90"
Buenos Aires,2009,Jul-09,7,7/1/2009,7/1/2009,"1,722.95"
Buenos Aires,2009,ago-09,8,8/1/2009,8/1/2009,"1,720.65"
Buenos Aires,2009,Sep-09,9,9/1/2009,9/1/2009,"1,727.50"
Buenos Aires,2009,Oct-09,10,10/1/2009,10/1/2009,"1,742.00"
Buenos Aires,2009,Nov-09,11,11/1/2009,11/1/2009,"1,753.66"
Buenos Aires,2009,dic-09,12,12/1/2009,12/1/2009,"1,774.18"
Buenos Aires,2010,ene-10,1,1/1/2010,1/1/2010,"1,786.44"
Buenos Aires,2010,Feb-10,2,2/1/2010,2/1/2010,"1,782.96"
Buenos Aires,2010,Mar-10,3,3/1/2010,3/1/2010,"1,773.73"
Buenos Aires,2010,abr-10,4,4/1/2010,4/1/2010,"1,769.10"
Buenos Aires,2010,May-10,5,5/1/2010,5/1/2010,"1,767.66"
Buenos Aires,2010,Jun-10,6,6/1/2010,6/1/2010,"1,771.64"
Buenos Aires,2010,Jul-10,7,7/1/2010,7/1/2010,"1,775.22"
Buenos Aires,2010,ago-10,8,8/1/2010,8/1/2010,"1,785.99"
Buenos Aires,2010,Sep-10,9,9/1/2010,9/1/2010,"1,792.87"
Buenos Aires,2010,Oct-10,10,10/1/2010,10/1/2010,"1,804.12"
Buenos Aires,2010,Nov-10,11,11/1/2010,11/1/2010,"1,822.66"
Buenos Aires,2010,dic-10,12,12/1/2010,12/1/2010,"1,850.47"
Buenos Aires,2011,ene-11,1,1/1/2011,1/1/2011,"1,873.67"
Buenos Aires,2011,Feb-11,2,2/1/2011,2/1/2011,"1,872.21"
Buenos Aires,2011,Mar-11,3,3/1/2011,3/1/2011,"1,856.65"
Buenos Aires,2011,abr-11,4,4/1/2011,4/1/2011,"1,850.10"
Buenos Aires,2011,May-11,5,5/1/2011,5/1/2011,"1,849.15"
Buenos Aires,2011,Jun-11,6,6/1/2011,6/1/2011,"1,853.35"
Buenos Aires,2011,Jul-11,7,7/1/2011,7/1/2011,"1,854.74"
Buenos Aires,2011,ago-11,8,8/1/2011,8/1/2011,"1,863.09"
Buenos Aires,2011,Sep-11,9,9/1/2011,9/1/2011,"1,878.35"
Buenos Aires,2011,Oct-11,10,10/1/2011,10/1/2011,"1,884.41"
Buenos Aires,2011,Nov-11,11,11/1/2011,11/1/2011,"1,905.68"
Buenos Aires,2011,dic-11,12,12/1/2011,12/1/2011,"1,921.00"
Buenos Aires,2012,ene-12,1,1/1/2012,1/1/2012,"1,945.74"
Buenos Aires,2012,Feb-12,2,2/1/2012,2/1/2012,"1,936.72"
Buenos Aires,2012,Mar-12,3,3/1/2012,3/1/2012,"1,924.89"
Buenos Aires,2012,abr-12,4,4/1/2012,4/1/2012,"1,904.16"
Buenos Aires,2012,May-12,5,5/1/2012,5/1/2012,"1,903.07"
Buenos Aires,2012,Jun-12,6,6/1/2012,6/1/2012,"1,897.42"
Buenos Aires,2012,Jul-12,7,7/1/2012,7/1/2012,"1,896.63"
Buenos Aires,2012,ago-12,8,8/1/2012,8/1/2012,"1,899.76"
Buenos Aires,2012,Sep-12,9,9/1/2012,9/1/2012,"1,898.99"
Buenos Aires,2012,Oct-12,10,10/1/2012,10/1/2012,"1,910.21"
Buenos Aires,2012,Nov-12,11,11/1/2012,11/1/2012,"1,920.53"
Buenos Aires,2012,dic-12,12,12/1/2012,12/1/2012,"1,943.77"
Buenos Aires,2013,ene-13,1,1/1/2013,1/1/2013,"1,958.88"
Buenos Aires,2013,Feb-13,2,2/1/2013,2/1/2013,"1,952.56"
Buenos Aires,2013,Mar-13,3,3/1/2013,3/1/2013,"1,932.93"
Buenos Aires,2013,abr-13,4,4/1/2013,4/1/2013,"1,925.18"
Buenos Aires,2013,May-13,5,5/1/2013,5/1/2013,"1,916.49"
Buenos Aires,2013,Jun-13,6,6/1/2013,6/1/2013,"1,908.56"
Buenos Aires,2013,Jul-13,7,7/1/2013,7/1/2013,"1,909.41"
Buenos Aires,2013,ago-13,8,8/1/2013,8/1/2013,"1,920.66"
Buenos Aires,2013,Sep-13,9,9/1/2013,9/1/2013,"1,919.41"
Buenos Aires,2013,Oct-13,10,10/1/2013,10/1/2013,"1,925.68"
Buenos Aires,2013,Nov-13,11,11/1/2013,11/1/2013,"1,938.31"
Buenos Aires,2013,dic-13,12,12/1/2013,12/1/2013,"1,951.86"
Buenos Aires,2014,ene-14,1,1/1/2014,1/1/2014,"1,963.09"
Buenos Aires,2014,Feb-14,2,2/1/2014,2/1/2014,"1,955.42"
Buenos Aires,2014,Mar-14,3,3/1/2014,3/1/2014,"1,931.77"
Buenos Aires,2014,abr-14,4,4/1/2014,4/1/2014,"1,922.58"
Buenos Aires,2014,May-14,5,5/1/2014,5/1/2014,"1,918.08"
Buenos Aires,2014,Jun-14,6,6/1/2014,6/1/2014,"1,913.30"
Buenos Aires,2014,Jul-14,7,7/1/2014,7/1/2014,"1,911.11"
Buenos Aires,2014,ago-14,8,8/1/2014,8/1/2014,"1,909.31"
Buenos Aires,2014,Sep-14,9,9/1/2014,9/1/2014,"1,914.92"
Buenos Aires,2014,Oct-14,10,10/1/2014,10/1/2014,"1,925.79"
Buenos Aires,2014,Nov-14,11,11/1/2014,11/1/2014,"1,933.03"
Buenos Aires,2014,dic-14,12,12/1/2014,12/1/2014,"1,948.81"
Buenos Aires,2015,ene-15,1,1/1/2015,1/1/2015,"1,971.73"
Buenos Aires,2015,Feb-15,2,2/1/2015,2/1/2015,"1,966.51"
Buenos Aires,2015,Mar-15,3,3/1/2015,3/1/2015,"1,955.19"
Buenos Aires,2015,abr-15,4,4/1/2015,4/1/2015,"1,953.30"
Buenos Aires,2015,May-15,5,5/1/2015,5/1/2015,"1,947.75"
Buenos Aires,2015,Jun-15,6,6/1/2015,6/1/2015,"1,951.89"
Buenos Aires,2015,Jul-15,7,7/1/2015,7/1/2015,"1,953.10"
Buenos Aires,2015,ago-15,8,8/1/2015,8/1/2015,"1,956.40"
Buenos Aires,2015,Sep-15,9,9/1/2015,9/1/2015,"1,957.07"
Buenos Aires,2015,Oct-15,10,10/1/2015,10/1/2015,"1,968.03"
Buenos Aires,2015,Nov-15,11,11/1/2015,11/1/2015,"1,971.55"
Buenos Aires,2015,dic-15,12,12/1/2015,12/1/2015,"1,974.97"
Buenos Aires,2016,ene-16,1,1/1/2016,1/1/2016,"1,988.10"
Buenos Aires,2016,Feb-16,2,2/1/2016,2/1/2016,"1,981.55"
Buenos Aires,2016,Mar-16,3,3/1/2016,3/1/2016,"1,961.26"
Buenos Aires,2016,abr-16,4,4/1/2016,4/1/2016,"1,945.54"
Buenos Aires,2016,May-16,5,5/1/2016,5/1/2016,"1,939.20"
Buenos Aires,2016,Jun-16,6,6/1/2016,6/1/2016,"1,931.59"
Buenos Aires,2016,Jul-16,7,7/1/2016,7/1/2016,"1,928.00"
Buenos Aires,2016,ago-16,8,8/1/2016,8/1/2016,"1,932.48"
Buenos Aires,2016,Sep-16,9,9/1/2016,9/1/2016,"1,934.07"
Buenos Aires,2016,Oct-16,10,10/1/2016,10/1/2016,"1,939.82"
Buenos Aires,2016,Nov-16,11,11/1/2016,11/1/2016,"1,952.17"
Buenos Aires,2016,dic-16,12,12/1/2016,12/1/2016,"1,961.62"
Buenos Aires,2017,ene-17,1,1/1/2017,1/1/2017,"1,979.08"
Buenos Aires,2017,Feb-17,2,2/1/2017,2/1/2017,"1,969.38"
Buenos Aires,2017,Mar-17,3,3/1/2017,3/1/2017,"1,963.96"
Buenos Aires,2017,abr-17,4,4/1/2017,4/1/2017,"1,949.68"
Buenos Aires,2017,May-17,5,5/1/2017,5/1/2017,"1,945.72"
Buenos Aires,2017,Jun-17,6,6/1/2017,6/1/2017,"1,945.45"
Buenos Aires,2017,Jul-17,7,7/1/2017,7/1/2017,"1,946.36"
Buenos Aires,2017,ago-17,8,8/1/2017,8/1/2017,"1,948.64"
Buenos Aires,2017,Sep-17,9,9/1/2017,9/1/2017,"1,951.79"
Buenos Aires,2017,Oct-17,10,10/1/2017,10/1/2017,"1,964.21"
Buenos Aires,2017,Nov-17,11,11/1/2017,11/1/2017,"1,971.37"
Buenos Aires,2017,dic-17,12,12/1/2017,12/1/2017,"1,979.00"
Buenos Aires,2018,ene-18,1,1/1/2018,1/1/2018,"1,995.29"
Buenos Aires,2018,Feb-18,2,2/1/2018,2/1/2018,"1,985.29"
Buenos Aires,2018,Mar-18,3,3/1/2018,3/1/2018,"1,977.92"
Buenos Aires,2018,abr-18,4,4/1/2018,4/1/2018,"1,964.17"
Buenos Aires,2018,May-18,5,5/1/2018,5/1/2018,"1,954.39"
Buenos Aires,2018,Jun-18,6,6/1/2018,6/1/2018,"1,941.22"
Buenos Aires,2018,Jul-18,7,7/1/2018,7/1/2018,"1,940.56"
Buenos Aires,2018,ago-18,8,8/1/2018,8/1/2018,"1,937.14"
Buenos Aires,2018,Sep-18,9,9/1/2018,9/1/2018,"1,929.14"
Buenos Aires,2018,Oct-18,10,10/1/2018,10/1/2018,"1,931.94"
Buenos Aires,2018,Nov-18,11,11/1/2018,11/1/2018,"1,927.31"
Buenos Aires,2018,dic-18,12,12/1/2018,12/1/2018,"1,928.42"
Buenos Aires,2019,ene-19,1,1/1/2019,1/1/2019,"1,943.27"
Buenos Aires,2019,Feb-19,2,2/1/2019,2/1/2019,"1,936.91"
Buenos Aires,2019,Mar-19,3,3/1/2019,3/1/2019,"1,931.57"
Buenos Aires,2019,abr-19,4,4/1/2019,4/1/2019,"1,913.05"
Buenos Aires,2019,May-19,5,5/1/2019,5/1/2019,"1,893.77"
Buenos Aires,2019,Jun-19,6,6/1/2019,6/1/2019,"1,884.02"
Buenos Aires,2019,Jul-19,7,7/1/2019,7/1/2019,"1,888.42"
Buenos Aires,2019,ago-19,8,8/1/2019,8/1/2019,"1,884.31"
Buenos Aires,2019,Sep-19,9,9/1/2019,9/1/2019,"1,877.99"
Buenos Aires,2019,Oct-19,10,10/1/2019,10/1/2019,"1,880.79"
Buenos Aires,2019,Nov-19,11,11/1/2019,11/1/2019,"1,885.73"
Buenos Aires,2019,dic-19,12,12/1/2019,12/1/2019,"1,890.57"
Buenos Aires,2020,ene-20,1,1/1/2020,1/1/2020,"1,901.64"
Buenos Aires,2020,Feb-20,2,2/1/2020,2/1/2020,"1,894.11"
Buenos Aires,2020,Mar-20,3,3/1/2020,3/1/2020,"1,874.68"
Buenos Aires,2020,abr-20,4,4/1/2020,4/1/2020,"1,833.33"
Buenos Aires,2020,May-20,5,5/1/2020,5/1/2020,"1,821.88"
Buenos Aires,2020,Jun-20,6,6/1/2020,6/1/2020,"1,820.72"
Buenos Aires,2020,Jul-20,7,7/1/2020,7/1/2020,"1,821.22"
Buenos Aires,2020,ago-20,8,8/1/2020,8/1/2020,"1,821.94"
Buenos Aires,2020,Sep-20,9,9/1/2020,9/1/2020,"1,827.10"
Buenos Aires,2020,Oct-20,10,10/1/2020,10/1/2020,"1,834.32"
Buenos Aires,2020,Nov-20,11,11/1/2020,11/1/2020,"1,841.05"
Buenos Aires,2020,dic-20,12,12/1/2020,12/1/2020,"1,846.86"
Buenos Aires,2021,ene-21,1,1/1/2021,1/1/2021,"1,861.10"
Buenos Aires,2021,Feb-21,2,2/1/2021,2/1/2021,"1,863.58"
Buenos Aires,2021,Mar-21,3,3/1/2021,3/1/2021,"1,867.61"
Buenos Aires,2021,abr-21,4,4/1/2021,4/1/2021,"1,862.69"
Buenos Aires,2021,May-21,5,5/1/2021,5/1/2021,"1,853.32"
Buenos Aires,2021,Jun-21,6,6/1/2021,6/1/2021,"1,850.64"
Buenos Aires,2021,Jul-21,7,7/1/2021,7/1/2021,"1,849.78"
Buenos Aires,2021,ago-21,8,8/1/2021,8/1/2021,"1,854.18"
Buenos Aires,2021,Sep-21,9,9/1/2021,9/1/2021,"1,863.57"
Buenos Aires,2021,Oct-21,10,10/1/2021,10/1/2021,"1,873.83"
Capital Federal,2009,ene-09,1,1/1/2009,1/1/2009,"1,469.94"
Capital Federal,2009,Feb-09,2,2/1/2009,2/1/2009,"1,467.03"
Capital Federal,2009,Mar-09,3,3/1/2009,3/1/2009,"1,466.17"
Capital Federal,2009,abr-09,4,4/1/2009,4/1/2009,"1,454.72"
Capital Federal,2009,May-09,5,5/1/2009,5/1/2009,"1,451.37"
Capital Federal,2009,Jun-09,6,6/1/2009,6/1/2009,"1,450.70"
Capital Federal,2009,Jul-09,7,7/1/2009,7/1/2009,"1,449.35"
Capital Federal,2009,ago-09,8,8/1/2009,8/1/2009,"1,448.63"
Capital Federal,2009,Sep-09,9,9/1/2009,9/1/2009,"1,452.49"
Capital Federal,2009,Oct-09,10,10/1/2009,10/1/2009,"1,456.96"
Capital Federal,2009,Nov-09,11,11/1/2009,11/1/2009,"1,460.73"
Capital Federal,2009,dic-09,12,12/1/2009,12/1/2009,"1,467.64"
Capital Federal,2010,ene-10,1,1/1/2010,1/1/2010,"1,460.38"
Capital Federal,2010,Feb-10,2,2/1/2010,2/1/2010,"1,463.02"
Capital Federal,2010,Mar-10,3,3/1/2010,3/1/2010,"1,473.08"
Capital Federal,2010,abr-10,4,4/1/2010,4/1/2010,"1,468.76"
Capital Federal,2010,May-10,5,5/1/2010,5/1/2010,"1,468.96"
Capital Federal,2010,Jun-10,6,6/1/2010,6/1/2010,"1,473.12"
Capital Federal,2010,Jul-10,7,7/1/2010,7/1/2010,"1,476.37"
Capital Federal,2010,ago-10,8,8/1/2010,8/1/2010,"1,481.40"
Capital Federal,2010,Sep-10,9,9/1/2010,9/1/2010,"1,488.51"
Capital Federal,2010,Oct-10,10,10/1/2010,10/1/2010,"1,497.05"
Capital Federal,2010,Nov-10,11,11/1/2010,11/1/2010,"1,506.42"
Capital Federal,2010,dic-10,12,12/1/2010,12/1/2010,"1,512.38"
Capital Federal,2011,ene-11,1,1/1/2011,1/1/2011,"1,503.53"
Capital Federal,2011,Feb-11,2,2/1/2011,2/1/2011,"1,508.12"
Capital Federal,2011,Mar-11,3,3/1/2011,3/1/2011,"1,513.42"
Capital Federal,2011,abr-11,4,4/1/2011,4/1/2011,"1,515.38"
Capital Federal,2011,May-11,5,5/1/2011,5/1/2011,"1,519.64"
Capital Federal,2011,Jun-11,6,6/1/2011,6/1/2011,"1,518.97"
Capital Federal,2011,Jul-11,7,7/1/2011,7/1/2011,"1,524.78"
Capital Federal,2011,ago-11,8,8/1/2011,8/1/2011,"1,531.39"
Capital Federal,2011,Sep-11,9,9/1/2011,9/1/2011,"1,532.17"
Capital Federal,2011,Oct-11,10,10/1/2011,10/1/2011,"1,535.62"
Capital Federal,2011,Nov-11,11,11/1/2011,11/1/2011,"1,543.91"
Capital Federal,2011,dic-11,12,12/1/2011,12/1/2011,"1,546.03"
Capital Federal,2012,ene-12,1,1/1/2012,1/1/2012,"1,534.10"
Capital Federal,2012,Feb-12,2,2/1/2012,2/1/2012,"1,532.41"
Capital Federal,2012,Mar-12,3,3/1/2012,3/1/2012,"1,537.42"
Capital Federal,2012,abr-12,4,4/1/2012,4/1/2012,"1,527.30"
Capital Federal,2012,May-12,5,5/1/2012,5/1/2012,"1,525.24"
Capital Federal,2012,Jun-12,6,6/1/2012,6/1/2012,"1,521.46"
Capital Federal,2012,Jul-12,7,7/1/2012,7/1/2012,"1,521.28"
Capital Federal,2012,ago-12,8,8/1/2012,8/1/2012,"1,519.97"
Capital Federal,2012,Sep-12,9,9/1/2012,9/1/2012,"1,517.93"
Capital Federal,2012,Oct-12,10,10/1/2012,10/1/2012,"1,525.37"
Capital Federal,2012,Nov-12,11,11/1/2012,11/1/2012,"1,527.31"
Capital Federal,2012,dic-12,12,12/1/2012,12/1/2012,"1,530.50"
Capital Federal,2013,ene-13,1,1/1/2013,1/1/2013,"1,524.33"
Capital Federal,2013,Feb-13,2,2/1/2013,2/1/2013,"1,522.21"
Capital Federal,2013,Mar-13,3,3/1/2013,3/1/2013,"1,525.06"
Capital Federal,2013,abr-13,4,4/1/2013,4/1/2013,"1,520.99"
Capital Federal,2013,May-13,5,5/1/2013,5/1/2013,"1,516.11"
Capital Federal,2013,Jun-13,6,6/1/2013,6/1/2013,"1,513.47"
Capital Federal,2013,Jul-13,7,7/1/2013,7/1/2013,"1,517.97"
Capital Federal,2013,ago-13,8,8/1/2013,8/1/2013,"1,516.67"
Capital Federal,2013,Sep-13,9,,9/1/2013,"1,516.17"
Capital Federal,2013,Oct-13,10,,10/1/2013,"1,522.69"
Capital Federal,2013,Nov-13,11,,11/1/2013,"1,524.90"
Capital Federal,2013,dic-13,12,,12/1/2013,"1,526.68"
Capital Federal,2014,ene-14,1,,1/1/2014,"1,520.22"
Capital Federal,2014,Feb-14,2,,2/1/2014,"1,518.13"
Capital Federal,2014,Mar-14,3,,3/1/2014,"1,518.25"
Capital Federal,2014,abr-14,4,,4/1/2014,"1,513.18"
Capital Federal,2014,May-14,5,,5/1/2014,"1,509.09"
Capital Federal,2014,Jun-14,6,,6/1/2014,"1,506.24"
Capital Federal,2014,Jul-14,7,,7/1/2014,"1,508.36"
Capital Federal,2014,ago-14,8,,8/1/2014,"1,511.73"
Capital Federal,2014,Sep-14,9,,9/1/2014,"1,515.83"
Capital Federal,2014,Oct-14,10,,10/1/2014,"1,519.74"
Capital Federal,2014,Nov-14,11,,11/1/2014,"1,522.61"
Capital Federal,2014,dic-14,12,,12/1/2014,"1,526.09"
Capital Federal,2015,ene-15,1,,1/1/2015,"1,521.88"
Capital Federal,2015,Feb-15,2,,2/1/2015,"1,524.52"
Capital Federal,2015,Mar-15,3,,3/1/2015,"1,534.38"
Capital Federal,2015,abr-15,4,,4/1/2015,"1,534.17"
Capital Federal,2015,May-15,5,,5/1/2015,"1,530.23"
Capital Federal,2015,Jun-15,6,,6/1/2015,"1,534.16"
Capital Federal,2015,Jul-15,7,,7/1/2015,"1,537.96"
Capital Federal,2015,ago-15,8,,8/1/2015,"1,537.88"
Capital Federal,2015,Sep-15,9,,9/1/2015,"1,539.51"
Capital Federal,2015,Oct-15,10,,10/1/2015,"1,544.97"
Capital Federal,2015,Nov-15,11,,11/1/2015,"1,545.49"
Capital Federal,2015,dic-15,12,,12/1/2015,"1,543.67"
Capital Federal,2016,ene-16,1,,1/1/2016,"1,536.96"
Capital Federal,2016,Feb-16,2,,2/1/2016,"1,541.96"
Capital Federal,2016,Mar-16,3,,3/1/2016,"1,548.81"
Capital Federal,2016,abr-16,4,,4/1/2016,"1,539.72"
Capital Federal,2016,May-16,5,,5/1/2016,"1,531.54"
Capital Federal,2016,Jun-16,6,,6/1/2016,"1,524.38"
Capital Federal,2016,Jul-16,7,,7/1/2016,"1,528.05"
Capital Federal,2016,ago-16,8,,8/1/2016,"1,529.08"
Capital Federal,2016,Sep-16,9,,9/1/2016,"1,529.31"
Capital Federal,2016,Oct-16,10,,10/1/2016,"1,535.15"
Capital Federal,2016,Nov-16,11,,11/1/2016,"1,539.64"
Capital Federal,2016,dic-16,12,,12/1/2016,"1,540.59"
Capital Federal,2017,ene-17,1,,1/1/2017,"1,535.73"
Capital Federal,2017,Feb-17,2,,2/1/2017,"1,534.69"
Capital Federal,2017,Mar-17,3,,3/1/2017,"1,547.60"
Capital Federal,2017,abr-17,4,,4/1/2017,"1,539.40"
Capital Federal,2017,May-17,5,,5/1/2017,"1,538.55"
Capital Federal,2017,Jun-17,6,,6/1/2017,"1,537.72"
Capital Federal,2017,Jul-17,7,,7/1/2017,"1,543.03"
Capital Federal,2017,ago-17,8,,8/1/2017,"1,547.23"
Capital Federal,2017,Sep-17,9,,9/1/2017,"1,545.67"
Capital Federal,2017,Oct-17,10,,10/1/2017,"1,553.04"
Capital Federal,2017,Nov-17,11,,11/1/2017,"1,558.78"
Capital Federal,2017,dic-17,12,,12/1/2017,"1,561.72"
Capital Federal,2018,ene-18,1,,1/1/2018,"1,555.94"
Capital Federal,2018,Feb-18,2,,2/1/2018,"1,555.62"
Capital Federal,2018,Mar-18,3,,3/1/2018,"1,563.95"
Capital Federal,2018,abr-18,4,,4/1/2018,"1,552.77"
Capital Federal,2018,May-18,5,,5/1/2018,"1,551.67"
Capital Federal,2018,Jun-18,6,,6/1/2018,"1,545.79"
Capital Federal,2018,Jul-18,7,,7/1/2018,"1,545.08"
Capital Federal,2018,ago-18,8,,8/1/2018,"1,544.45"
Capital Federal,2018,Sep-18,9,,9/1/2018,"1,538.24"
Capital Federal,2018,Oct-18,10,,10/1/2018,"1,541.09"
Capital Federal,2018,Nov-18,11,,11/1/2018,"1,536.24"
Capital Federal,2018,dic-18,12,,12/1/2018,"1,533.07"
Capital Federal,2019,ene-19,1,,1/1/2019,"1,526.97"
Capital Federal,2019,Feb-19,2,,2/1/2019,"1,527.51"
Capital Federal,2019,Mar-19,3,,3/1/2019,"1,529.29"
Capital Federal,2019,abr-19,4,,4/1/2019,"1,517.07"
Capital Federal,2019,May-19,5,,5/1/2019,"1,517.27"
Capital Federal,2019,Jun-19,6,,6/1/2019,"1,509.58"
Capital Federal,2019,Jul-19,7,,7/1/2019,"1,511.73"
Capital Federal,2019,ago-19,8,,8/1/2019,"1,511.51"
Capital Federal,2019,Sep-19,9,,9/1/2019,"1,502.52"
Capital Federal,2019,Oct-19,10,,10/1/2019,"1,501.54"
Capital Federal,2019,Nov-19,11,,11/1/2019,"1,490.13"
Capital Federal,2019,dic-19,12,,12/1/2019,"1,486.49"
Capital Federal,2020,ene-20,1,,1/1/2020,"1,478.38"
Capital Federal,2020,Feb-20,2,,2/1/2020,"1,479.28"
Capital Federal,2020,Mar-20,3,,3/1/2020,"1,474.06"
Capital Federal,2020,abr-20,4,,4/1/2020,"1,433.50"
Capital Federal,2020,May-20,5,,5/1/2020,"1,421.69"
Capital Federal,2020,Jun-20,6,,6/1/2020,"1,415.03"
Capital Federal,2020,Jul-20,7,,7/1/2020,"1,413.04"
Capital Federal,2020,ago-20,8,,8/1/2020,"1,413.69"
Capital Federal,2020,Sep-20,9,,9/1/2020,"1,412.41"
Capital Federal,2020,Oct-20,10,,10/1/2020,"1,411.31"
Capital Federal,2020,Nov-20,11,,11/1/2020,"1,413.62"
Capital Federal,2020,dic-20,12,,12/1/2020,"1,414.26"
Capital Federal,2021,ene-21,1,,1/1/2021,"1,413.18"
Capital Federal,2021,Feb-21,2,,2/1/2021,"1,411.78"
Capital Federal,2021,Mar-21,3,,3/1/2021,"1,420.07"
Capital Federal,2021,abr-21,4,,4/1/2021,"1,416.20"
Capital Federal,2021,May-21,5,,5/1/2021,"1,411.92"
Capital Federal,2021,Jun-21,6,,6/1/2021,"1,411.61"
Capital Federal,2021,Jul-21,7,,7/1/2021,"1,415.78"
Capital Federal,2021,ago-21,8,,8/1/2021,"1,420.13"
Capital Federal,2021,Sep-21,9,,9/1/2021,"1,423.38"
Capital Federal,2021,Oct-21,,,12/1/2020,"1,434.04"
Catamarca,2009,ene-09,,,12/1/2008,29.79
Catamarca,2009,Feb-09,,,12/1/2008,30.50
Catamarca,2009,Mar-09,,,12/1/2008,31.82
Catamarca,2009,abr-09,,,12/1/2008,31.26
Catamarca,2009,May-09,,,12/1/2008,30.37
Catamarca,2009,Jun-09,,,12/1/2008,29.38
Catamarca,2009,Jul-09,,,12/1/2008,29.09
Catamarca,2009,ago-09,,,12/1/2008,28.52
Catamarca,2009,Sep-09,,,12/1/2008,28.72
Catamarca,2009,Oct-09,,,12/1/2008,29.06
Catamarca,2009,Nov-09,,,12/1/2008,30.41
Catamarca,2009,dic-09,,,12/1/2008,29.44
Catamarca,2010,ene-10,,,12/1/2009,28.65
Catamarca,2010,Feb-10,,,12/1/2009,31.63
Catamarca,2010,Mar-10,,,12/1/2009,32.15
